year,month,date,company,track,volume_desc,volume,round
2016,Oct,Oct 2016,职派,Higher Edu.,200,200,Seed/Angel
2016,Sep,Sep 2016,首尔教育,Language Learning,200,200,Seed/Angel
2018,Apr,Apr 2018,炼金术学堂,Vocational Edu.,200,200,Seed/Angel
2015,Oct,Oct 2015,瑞应书院（找导师）,Higher Edu.,200,200,Seed/Angel
2015,Apr,Apr 2015,猎掌门,Vocational Edu.,200,200,Seed/Angel
2017,Jan,Jan 2017,童之趣,Early Childhood Edu.,200,200,Seed/Angel
2016,Nov,Nov 2016,小河说,Vocational Edu.,200,200,Seed/Angel
2017,May,May 2017,音熊音乐陪练机器人,Holistic Edu.,200,200,Seed/Angel
2017,Jun,Jun 2017,湃乐思教育,Holistic Edu.,200,200,Seed/Angel
2018,Jan,Jan 2018,小编程家,STEAM,200,200,Pre-A
2018,May,May 2018,英盼教育,Language Learning,200,200,Seed/Angel
2018,Jan,Jan 2018,蜂巢电子积木,STEAM,200,200,Seed/Angel
2018,Apr,Apr 2018,守艺科技,Edu. SaaS,200,200,Seed/Angel
2018,Apr,Apr 2018,符号树,K12,200,200,Seed/Angel
2014,Apr,Apr 2014,365好老师,K12,200,200,Seed/Angel
2015,Sep,Sep 2015,糖堂Sweetclass,K12,200,200,Seed/Angel
2017,Mar,Mar 2017,艺起来小音咖,Holistic Edu.,200,200,Pre-A
2017,Dec,Dec 2017,iBanker,Vocational Edu.,200,200,Seed/Angel
2017,Apr,Apr 2017,艺师汇,Holistic Edu.,200,200,Seed/Angel
2017,Oct,Oct 2017,玛瑞欧教育,Language Learning,200,200,Seed/Angel
2015,Sep,Sep 2015,孔夫子,Holistic Edu.,200,200,Seed/Angel
2018,Mar,Mar 2018,思博锐,Vocational Edu.,200,200,Seed/Angel
2018,Jun,Jun 2018,一起竞赛,K12,200,200,Seed/Angel
2018,Jun,Jun 2018,一休数学思维,Holistic Edu.,200,200,Seed/Angel
2018,Mar,Mar 2018,阳阳魔法教育,Language Learning,200,200,Pre-A
2017,Jul,Jul 2017,优贝甜,Holistic Edu.,180,180,Seed/Angel
2018,May,May 2018,新时代区块链研究院,Vocational Edu.,150,150,Seed/Angel
2018,May,May 2018,拉扎斯文化传媒,Vocational Edu.,150,150,Seed/Angel
2015,Aug,Aug 2015,思享空间,Others,150,150,Seed/Angel
2015,Aug,Aug 2015,MySIMAX,Others,127,127,Strategic Investment
2016,Sep,Sep 2016,派希PACEE,Holistic Edu.,100,100,Seed/Angel
2017,Jul,Jul 2017,校谱网,Study Abroad Services,100,100,Seed/Angel
2017,May,May 2017,百造学堂,Edu. Informationization,100,100,Seed/Angel
2016,Sep,Sep 2016,签到荚,Higher Edu.,100,100,Seed/Angel
2014,Nov,Nov 2014,萌码网,Vocational Edu.,100,100,Seed/Angel
2018,May,May 2018,预言家,Edu. Informationization,100,100,Seed/Angel
2017,May,May 2017,淘儿学,K12,100,100,Seed/Angel
2018,Apr,Apr 2018,知行晓政,Vocational Edu.,100,100,Seed/Angel
2018,Apr,Apr 2018,编程侠,STEAM,100,100,Seed/Angel
2018,May,May 2018,团建队长,Vocational Edu.,100,100,Seed/Angel
2017,May,May 2017,方块熊乐园,Early Childhood Edu.,100,100,Seed/Angel
2016,Aug,Aug 2016,爸妈搜,Paid Knowledge,100,100,Seed/Angel
2017,Aug,Aug 2017,宋钊教育,Holistic Edu.,100,100,Seed/Angel
2014,Sep,Sep 2014,快客,Edu. Informationization,100,100,Seed/Angel
2018,Mar,Mar 2018,益起玩,Early Childhood Edu.,80,80,Seed/Angel
2015,Aug,Aug 2015,贝壳单词,Language Learning,50,50,Seed/Angel
2018,May,May 2018,Vent学堂,Paid Knowledge,30,30,Seed/Angel
2016,Mar,Mar 2016,校伴,Edu. Informationization,20,20,Seed/Angel
2015,Jul,Jul 2015,2平米智慧学习桌,Others,20,20,Seed/Angel
2016,Mar,Mar 2016,爱天教育科技,Language Learning,20,20,Seed/Angel
2015,Aug,Aug 2015,智慧流,K12,20,20,Seed/Angel
2016,Mar,Mar 2016,新学说,Paid Knowledge,20,20,Seed/Angel
2015,Aug,Aug 2015,一维弦机器人,Holistic Edu.,20,20,Seed/Angel
2016,Mar,Mar 2016,开心药师,Vocational Edu.,20,20,Seed/Angel
2015,Aug,Aug 2015,陪你学古筝,Holistic Edu.,20,20,Seed/Angel
